Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Location Block GeoX,Arrest Location Block GeoY,Offense GEOY,Offense GEOX,Offense PSA,Offense District,Arrest Latitude,Arrest Longitude,Offense Latitude,Offense Longitude
Adult Arrest,2017,01/01/2017,0,ce59610afe457aecbcb46ca03d58647acfcae066c2a628451fbc187ac2ab6fc2,de1b8363cba622e5aca1967bcd9aa36235013a7fa731fd3649ecd950b77c18f4,25,106,1D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive,Failure To Appear (OAG),306,3D,398500,138500,138500,398500,306,3D,38.9144,-77.0173,38.9144,-77.0173
Adult Arrest,2017,01/01/2017,0,bbe582834bb54bd2a5252eca11a342d246662438c35f895f9add1614901817d3,9396ae868048aea46238573e1f33082576a851ded798e9ee8954cd991d8de0a5,40,304,3D,WHITE,HISPANIC,MALE,Simple Assault,Simple Assault,304,3D,397000,139700,139700,3.97E+05,304,3D,38.9252,-77.0346,38.9252,-77.0346
Adult Arrest,2017,01/01/2017,0,1a6a81a07aaae68a588acaf59ddcedb6177a97a7a742cd52894eef288804f04d,7992f9917b90d89eae61933c2941c3b947dd28f4e6b7ca74e5f90e049027a3bc,27,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,305,3D,397200,138800,138800,397200,305,3D,38.9171,-77.0323,38.9171,-77.0323
Adult Arrest,2017,01/01/2017,0,bbe582834bb54bd2a5252eca11a342d246662438c35f895f9add1614901817d3,c268255432948733d2a13e41dda8c2cb75cb383c7b3af172cd2013b9f9bb356f,24,304,3D,WHITE,HISPANIC,FEMALE,Simple Assault,Simple Assault,304,3D,397000,139700,139700,3.97E+05,304,3D,38.9252,-77.0346,38.9252,-77.0346
Adult Arrest,2017,01/01/2017,0,bbe582834bb54bd2a5252eca11a342d246662438c35f895f9add1614901817d3,605bd9c76761055299d76e054561bf7c8beac61f64b65a6f1e98b65fc70c9829,30,304,3D,WHITE,HISPANIC,MALE,Simple Assault,Simple Assault,304,3D,397000,139700,139700,3.97E+05,304,3D,38.9252,-77.0346,38.9252,-77.0346
Adult Arrest,2017,01/01/2017,0,dc333ea058929c79195d69a4d875d520c2f923bc6da91de3b326b19a05eb349a,e1ff5a17ae022be241ef07067c4ae31ee8a06d723b9ef54356915a1ab2eb86a7,20,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,407,4D,398500,142300,142300,398600,407,4D,38.9486,-77.0173,38.9486,-77.0162
Adult Arrest,2017,01/01/2017,0,5be3c5cb94b6ef98b9c2d3641315095cc7a8813be9352cf62169ee4c6ba85843,4c0a95656b74f323a8343880a0a0070c35a9709416917e3e89931f55c59e5d74,40,507,5D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Counterfeit Tags,507,5D,401600,137100,137100,401600,507,5D,38.9018,-76.9816,38.9018,-76.9816
Adult Arrest,2017,01/01/2017,0,239a5fcd85cfdbf9fe5b2e43ee013a61816c8cf0253660fc80f93ac39e821d2d,f6e876c0e5382d1c3f5bac4fe244dc8aaadcece3cb2c7948669a1baf5544c9b6,19,507,5D,BLACK,NOT HISPANIC,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,507,5D,402300,137300,137300,402300,507,5D,38.9036,-76.9735,38.9036,-76.9735
Adult Arrest,2017,01/01/2017,0,254eb444ccc4dda2ec50ac9dc78a3f1689cd73784dac0395a921d6605734ee61,05e6aa71d763a3a79dddfe4adb93f6c819f5f3922ac76929a0c042073ca5bfbf,36,Out of State,Out of State,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,506,5D,401100,137500,137500,401100,506,5D,38.9054,-76.9873,38.9054,-76.9873
FREE,2017,01/01/2017,0,a5e69b18f77b345b222c8192ddff7288c2e719a2afc1788d4fb160497006dee8,1161570fd4fb861685ab893c847690ce20be0d8487081f8ff10855f8656809bc,48,Out of State,Out of State,WHITE,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,503,5D,402500,139100,139100,402500,503,5D,38.9198,-76.9712,38.9198,-76.9712
FREE,2017,01/01/2017,0,b1780068232ebbe3f93c96994139b8f2daca4b0e92df0d3be095b6c7eaa53b5e,624ea0582401dbddd7da916e15eb14a53272c150d85eebf01e7f9efa518853db,25,602,6D,BLACK,UNKNOWN,MALE,Weapon Violations,CPWOL Outside Home or Business (Prior Felony) in violation of 2nd Emergency Act of 2014 Act 20-0564,602,6D,406100,137600,137600,406100,602,6D,38.9062,-76.9297,38.9062,-76.9297
